MSR_ID;MSR_NME;MSR_NMF
640.00000;60ml;60ml
641.00000;75ml;75ml
685.00000;10 nuts;10 noix
693.00000;1 bar (60g);1 barre (60g)
696.00000;1 envelope (13g);1 enveloppe (13g)
697.00000;1 envelope (14g);1 enveloppe (14g)
700.00000;1 bar (68g);1 barre (68g)
701.00000;1 bar (40g);1 barre (40g)
702.00000;1 candy roll;1 rouleau de bonbons
703.00000;1 bunch;1 botte
704.00000;10 slices;10 tranches
705.00000;1 endive;1 endive
709.00000;1 crab leg (500g);1 patte de crabe (500g)
798.00000;2 leaves;2 feuilles
799.00000;1 cupcake;1 petit gâteau
800.00000;3 saltine craquers;3 craquelins salés
801.00000;1 packet (individual);1 paquet (individuel)
858.00000;100ml (7 kernels);100ml (7 graines)
859.00000;1 large (20cm long);1 gros (20cm longueur)
860.00000;1 small (15cm long);1 petit (15cm longueur)
861.00000;1 small (10cm long);1 petit (10cm longueur)
862.00000;1 medium (11.5cm long);1 moyen (11.5cm longueur)
863.00000;1 large (13cm long);1 gros (13cm long)
